date,open,high,low,close,volume
7/1/2022,20.6939,21.1035,20.5952,21.0294,32753150
7/5/2022,20.8518,20.9061,20.5015,20.8913,36955326
7/6/2022,20.8913,20.9505,20.615,20.8123,27640013
7/7/2022,20.8913,21.0393,20.7531,20.8715,26907767
7/8/2022,20.93,21.06,20.75,20.8,22350599
7/11/2022,20.71,20.8551,20.63,20.66,23321797
7/12/2022,20.63,20.86,20.45,20.6,26444575
7/13/2022,20.45,20.6,20.23,20.45,25184599
7/14/2022,20.13,20.35,20.045,20.33,26604500
7/15/2022,20.54,20.59,20.21,20.57,23830976
7/18/2022,20.63,20.69,20.51,20.53,22498616
7/19/2022,20.6,20.86,20.53,20.8,21801465
7/20/2022,20.82,20.83,20.4,20.48,34183930
7/21/2022,19.04,19.12,18.24,18.92,123284530
7/22/2022,18.66,18.69,18.25,18.4,71961837
7/25/2022,18.38,18.65,18.33,18.53,39468263
7/26/2022,18.4,18.445,18.18,18.3,38852542
7/27/2022,18.35,18.49,18.23,18.39,36568666
7/28/2022,18.3,18.77,18.285,18.58,41893861
7/29/2022,18.51,18.85,18.48,18.78,40792006
8/1/2022,18.85,18.87,18.61,18.73,37083188
8/2/2022,18.72,18.74,18.32,18.36,43606563
8/3/2022,18.42,18.505,18.31,18.37,35499488
8/4/2022,18.31,18.38,18.22,18.27,28251016
8/5/2022,18.27,18.36,18.09,18.35,32711706
8/8/2022,18.36,18.405,18,18,44037580
8/9/2022,18.04,18.22,18.04,18.1,33246866
8/10/2022,18.22,18.25,17.99,18.01,50156232
8/11/2022,18.06,18.17,18.01,18.04,40777562
8/12/2022,18.1,18.27,18.09,18.27,25800506
8/15/2022,18.19,18.46,18.19,18.39,28834950
8/16/2022,18.37,18.7,18.37,18.57,34233584
8/17/2022,18.42,18.61,18.32,18.42,23767129
8/18/2022,18.26,18.53,18.18,18.43,33806135
8/19/2022,18.38,18.51,18.32,18.43,27130737
8/22/2022,18.31,18.33,18.07,18.13,32024247
8/23/2022,18.11,18.19,18.02,18.06,27246799
8/24/2022,18.07,18.07,17.865,18.01,30636781
8/25/2022,18.05,18.1,17.94,18.09,25177157
8/26/2022,18.02,18.09,17.85,17.89,30560628
8/29/2022,17.81,17.92,17.71,17.78,25450774
8/30/2022,17.81,17.9,17.75,17.82,32465453
8/31/2022,17.82,17.86,17.505,17.54,46646646
9/1/2022,17.49,17.67,17.41,17.5,30599261
9/2/2022,17.57,17.615,17.16,17.19,36430269
